src_category,generic_category,src_vendor,comments,generic categories,examples
3D Printer,Computer,['octoprint' 'raspberry-pi' 'google'],drop octoprint,Computer,Laptop/computer
3D Printer Controller,Computer,['raspberry-pi'],,Router,"Any networking device for e.g. router, access point, extender, mesh router, Internet Gateway"
3D Printer Server,Computer,['raspberry-pi'],,Mobile Device ,"Phone, Tablet, E-readers"
AV Receiver,Media/TV,['denon' 'onkyo' 'yamaha' 'marantz' 'pioneer' 'apple' 'tivo' 'sony'],,Wearable,"Smartwatch, hand ring, or band"
AVR-S720W,Media/TV,['denon'],,Game Console,"Xbox, Play station"
Access Point,Router,['asus'],,Home Automation,"Anything related to smart lights, switches, plugs, strips, window sensors, weather sensor, thermostat, garage door opener, smart lock, air purifier, vacuum etc"
Air Conditioner,Home Appliance ,['ecobee' 'samsung'],,Storage,"NAS, or anything that could store media which could be streamed somewhere over the network
DLNA DMS (Digital Media Server)"
Air Purifier,Home Appliance ,['vocol'],,Surveillance,"Any smart/IP camera, or smart doorbell"
Air Quality Monitor,Generic IoT,['koogeek' 'awair' 'netatmo'],,Work Appliance,"Printer, fax"
Air Quality Sensor,Generic IoT,['netatmo'],,Voice Assistant,"Any speaker based voice assistant, Nest Hub and Echo show,"
AirPurifier,Home Appliance ,['belkin'],,Vehicle,"Cars, and other vehicles"
Amplifier,Media/TV,['denon' 'yamaha'],,Media/TV,"Streamers, smart TVs, and voice assistant with display for e.g. DLNA DMR (Digital Media Renderer), also the case of both DMS and DMR, and any Receiver, smart speakers, and audio streamers, Internet radio device"
Android Device,Mobile Device ,['samsung' 'asus' 'oculus'],,Home Appliance ,"Smart refridgerator, coffe maker, AC, Purifier, etc."
Android TV,Media/TV,['amazon'],,Generic IoT,"toothbrush, medical devices, and anything that doesn't fit in the above categories but it's and IoT."
Apple TV,Media/TV,['apple' 'netgear' 'nest'],,Other,Can't say if it's IoT
AppleTV,Media/TV,['apple'],,,
Audio Amplifier,Media/TV,['denon' 'onkyo' 'sony'],,,
Audio Device,Media/TV,"['sonos' 'denon' 'marantz' 'lg' 'onkyo' 'yamaha' 'sony' 'devialet' 'vizio'
 'bose' 'naim audio']",,,
Audio Player,Media/TV,['sonos'],,,
Audio Receiver,Media/TV,"['onkyo' 'sonos' 'yamaha' 'denon' 'google' 'marantz' 'pioneer' 'sony'
 'naim audio']",,,
Audio Streamer,Media/TV,['bluesound' 'google' 'fon' 'sonos'],,,
Audio Streaming Device,Media/TV,['bluesound' 'google' 'sonos' 'bose'],,,
Audio/Video Receiver,Media/TV,['denon'],,,
Axis,Surveillance,['axis'],,,
Backup Device,Computer,['apple'],,,
Belkin Insight,Home Automation,['belkin'],,,
Belkin WeMo,Home Automation,['belkin'],,,
Belkin WeMo LightSwitch,Home Automation,['belkin'],,,
Belkin WeMo Link,Home Automation,['belkin'],,,
Belkin Wemo,Home Automation,['belkin' 'raspberry-pi' 'synology'],"Remove Synology? NAS/Router
raspberry-pi? Computer",,
Belkin Wemo Dimmer,Home Automation,['belkin'],,,
Belkin Wemo Insight,Home Automation,['belkin'],,,
Belkin Wemo Light Switch,Home Automation,['belkin'],,,
Belkin Wemo LightSwitch,Home Automation,['belkin'],,,
Belkin Wemo Link,Home Automation,['belkin'],,,
Belkin Wemo Mini,Home Automation,['belkin'],,,
Belkin Wemo Socket,Home Automation,['belkin'],,,
Blu-ray Player,Media/TV,['sony' 'panasonic' 'samsung'],,,
Bluetooth Extender,Home Automation,['eve'],,,
Bose SoundTouch,Media/TV,['bose'],,,
Bose SoundTouch & Spotify Connect,Media/TV,['bose'],,,
Button Hub,Home Automation,['logi'],,,
Cable Box,Media/TV,['arris'],,,
Camera,Computer,['raspberry-pi'],,,
Canon Printer,Work Appliance,['canon'],,,
Cell Phone,Mobile Device ,['samsung' 'lg' 'google' 'apple' 'motorola' 'huawei' 'oneplus'],,,
Cellular Phone,Mobile Device ,['apple'],,,
Chromecast,Media/TV,['google'],,,
Climate Sensor,Generic IoT,['netatmo'],,,
Computer,Computer,"['apple' 'plex' 'microsoft' 'dell' 'lenovo' 'asus' 'gigabyte' 'xiaomi'
 'hp' 'samsung']",,,
ConnectSense Outlet,Home Automation,['connect'],,,
DIRECTV,Media/TV,['directv'],,,
DLNA,Media/TV,['directv' 'sonos'],,,
DLNA DMR,Media/TV,['amazon' 'microsoft' 'samsung' 'lg' 'yamaha' 'sony' 'onkyo'],,,
DLNA DMR and Samsung TV,Media/TV,['samsung'],,,
DLNA DMR/DMS,Media/TV,['western digital'],,,
DLNA DMS,Storage,"['western digital' 'panasonic' 'microsoft' 'philips' 'silicondust'
 'synology' 'arris']",,,
DLNA Media Server,Storage,['plex'],,,
DLNA Server,Storage,['plex'],,,
DLNA_DMR and DLNA_DMS,Media/TV,['directv' 'apple'],,,
DLNA_DMR and Spotify Connect,Media/TV,['samsung'],,,
"DLNA_DMR, Google Cast, Spotify Connect",Media/TV,['sony'],,,
DLNA_DMS,Storage,"['western digital' 'plex' 'icp' 'synology' 'arris' 'dlink' 'seagate'
 'dell' 'microsoft' 'samsung' 'fetch' 'qnap' 'directv' 'apple' 'netgear'
 'marantz' 'silicondust' 'panasonic' 'buffalo' 'philips' 'sonos' 'amazon'
 'avm' 'micro' 'systems' 'iomega' 'cie' 'denon' 'cisco']","discard amazon storage 
change directv to Media/TV",,
DLNA_DMS and Sonos,Media/TV,['sonos'],,,
DLNA_DMS/DLNA_DMR,Media/TV,['technicolor'],,,
DVD Player,Media/TV,['samsung' 'sony'],,,
DVR,Media/TV,['directv' 'tivo' 'arris'],,,
DVR (Digital Video Recorder),Media/TV,['tivo' 'directv'],,,
DVR Streamer,Media/TV,['samsung' 'tivo'],,,
DVR/Media Player,Media/TV,['tivo'],,,
Dehumidifier,Home Appliance ,['belkin'],,,
Desktop Computer,Computer,['microsoft' 'apple' 'hp' 'home' 'asus' 'dell' 'asrock' 'intel' 'gigabyte'],drop 'home' where it's not in 'Home Automation',,
Desktop PC,Computer,['hp' 'microsoft' 'apple' 'dell' 'asus'],,,
Diffuser,Home Appliance ,['vocol'],,,
Digital Media Player,Media/TV,['apple'],,,
Digital Media Recorder,Media/TV,['tivo'],,,
Digital Media Streamer,Media/TV,['apple'],,,
Digital Radio Hotspot,Computer,['raspberry-pi'],raspberry-pi? Computer,,
