device_id,gpt_clean_vendor,gpt_generic_category,vendor_name,man_generic_category
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Media/TV
0,google,Voice Assistant,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Home Automation,google,Home Automation
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Voice Assistant
0,google,Media/TV,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Media/TV,google,Media/TV
0,google,Voice Assistant,google,Voice Assistant
0,google,Voice Assistant,google,Voice Assistant
