user_key,device_id,user_label,oui_friendly,user_country,timezone,fingerbank_label,device_category,vendor_name,inspected
0,0,,Hi-flying electronics technology Co.,(Unknown),-4,Internet of Things (IoT)/Orvibo Smart Home,Unknown,,0
0,0,,Shenzhen Zowee Technology Co.,(Unknown),(Unknown),"Hardware Manufacturer/Shenzhen Zowee Technology Co., Ltd",Unknown,,0
0,0,,Espressif Inc.,Canada,-6,Internet of Things (IoT),Unknown,,0
0,0,,Texas Instruments,(Unknown),-6,Hardware Manufacturer/Texas Instruments,Camera,amazon,0
0,0,,Apple,(Unknown),-6,Operating System/Apple OS,Phone,Apple,1
0,0,,Intel Corporate,(Unknown),-4,Hardware Manufacturer/Intel Corporate,Unknown,,0
0,0,,Nest Labs Inc.,(Unknown),-4,Internet of Things (IoT)/Nest,Thermostat,google,0
0,0,,Wistron Neweb Corporation,United States,-5,Hardware Manufacturer/Wistron Neweb Corporation,Unknown,,0
0,0,,Midea Group Co.,(Unknown),8,"Hardware Manufacturer/Midea Group Co., Ltd.",Thermostat,Midea,0
0,0,,Murata Manufacturing Co.,(Unknown),2,"Phone, Tablet or Wearable/Intermec Handheld/Intermec CN50",Unknown,,0
0,0,,Apple,(Unknown),-7,Operating System/Apple OS,Phone,Apple,1
0,0,,Dragino Technology Co.,(Unknown),-7,Internet of Things (IoT)/Generic IoT/Dragino Technology,Unknown,,0
0,0,,Hewlett Packard,(Unknown),2,Hardware Manufacturer/Hewlett Packard,printer,hp,0
0,0,,NETGEAR,(Unknown),-5,Hardware Manufacturer/NETGEAR,Unknown,,0
0,0,,Microsoft Corporation,(Unknown),(Unknown),Hardware Manufacturer/Microsoft,Unknown,,0
0,0,,Raspberry Pi Foundation,United States,-6,Internet of Things (IoT)/Generic IoT/Raspberry Pi,Unknown,,0
0,0,,Nest Labs Inc.,(Unknown),-4,Internet of Things (IoT)/Nest,Unknown,google,0
0,0,,Apple,(Unknown),2,Operating System/Apple OS,Phone,Apple,0
0,0,,,United States,-8,Internet of Things (IoT)/Animal Care/Petkit,Unknown,,0
0,0,,ASD Electronics Ltd,(Unknown),2,Hardware Manufacturer/ASD Electronics Ltd,Unknown,,0
0,0,,Synology Incorporated,(Unknown),2,Operating System/Windows OS/Microsoft Windows Kernel 10.0,NAS,Synology,1
0,0,,SHENZHEN BILIAN ELECTRONIC CO.ï¼ŒLTD,United Kingdom,0,"Hardware Manufacturer/Shenzhen Bilian electronic CO.,LTD",vacuum,trifo,0
0,0,,Ubiquiti Networks Inc.,(Unknown),2,"Router, Access Point or Femtocell/Wireless Access Point/Ubiquiti WAP",Unknown,,0
0,0,,Intel Corporate,(Unknown),13,Operating System/Windows OS/Microsoft Windows Kernel 10.0,Unknown,,0
0,0,,Microsoft Corporation,(Unknown),-5,Operating System/Windows OS,Gaming,microsoft,1
0,0,,Rivet Networks,United States,-4,Hardware Manufacturer/Rivet Networks,Unknown,,0
0,0,,Raspberry Pi Foundation,(Unknown),-7,Internet of Things (IoT)/Generic IoT/Raspberry Pi,pc,Raspberry,0
0,0,,,United States,-5,Internet of Things (IoT),Unknown,,0
0,0,,Apple,(Unknown),-4,Operating System/Apple OS,Hub,Apple,0
0,0,,,United States,9,Operating System/Apple OS/Mac OS X or macOS/Mac OS X,Unknown,,0
0,0,,Philips Lighting BV,(Unknown),2,Internet of Things (IoT)/Philips IoT,Hub,Philips,1
0,0,,Espressif Inc.,(Unknown),-4,Internet of Things (IoT)/Generic IoT/Espressif,Unknown,,0
0,0,,Apple,(Unknown),-7,Operating System/Apple OS,TV,Apple,1
0,0,,Ubiquiti Networks Inc.,(Unknown),-5,Hardware Manufacturer/Ubiquiti Networks Inc.,Unknown,,0
0,0,,Rivet Networks,(Unknown),-4,Hardware Manufacturer/Rivet Networks,Unknown,,0
0,0,,Hon Hai Precision Ind. Co.,China,8,"Hardware Manufacturer/Hon Hai Precision Ind. Co.,Ltd.",Unknown,,0
0,0,,IEEE Registration Authority,(Unknown),-4,Hardware Manufacturer/IEEE Registration Authority,camera,wyze,0
0,0,,,United States,-4,"Phone, Tablet or Wearable/Apple Mobile Device/Apple iPhone",Unknown,,0
0,0,,Private,(Unknown),1,Hardware Manufacturer/Private,tv,amazon,0
0,0,,IEEE Registration Authority,(Unknown),-4,Hardware Manufacturer/IEEE Registration Authority,Camera,wyze,0
0,0,,Belkin International Inc.,United States,-5,Hardware Manufacturer/Belkin International Inc.,plug,Belkin,0
0,0,,GainSpan Corp.,United States,-8,Internet of Things (IoT)/Generic IoT/GainSpan,Unknown,,0
0,0,,TP-LINK TECHNOLOGIES CO.,Australia,10,"Hardware Manufacturer/TP-LINK TECHNOLOGIES CO.,LTD.",Unknown,,0
0,0,,Hewlett Packard,(Unknown),-7,Hardware Manufacturer/Hewlett Packard,Unknown,hp,0
0,0,,Hewlett Packard,(Unknown),-7,Hardware Manufacturer/Hewlett Packard,Unknown,hp,0
0,0,,Espressif Inc.,(Unknown),2,Internet of Things (IoT)/Generic IoT/Espressif,light,Luminea,0
0,0,,Apple,(Unknown),-5,Operating System/Apple OS,Phone,Apple,1
0,0,,,Canada,-3,Internet of Things (IoT)/Other IoT/Tuya Smart,Unknown,,0
0,0,,B-Link Electronic Limited,(Unknown),8,Hardware Manufacturer/B-Link Electronic Limited,camera,,0
0,0,,Snap AV,(Unknown),(Unknown),Hardware Manufacturer/Snap AV,Unknown,,0
0,0,,ASRock Incorporation,(Unknown),-5,Hardware Manufacturer/ASRock Incorporation,PC,ASRock,0
0,0,,Nest Labs Inc.,(Unknown),-5,Internet of Things (IoT)/Nest,Unknown,,0
0,0,,TP-LINK TECHNOLOGIES CO.,(Unknown),-7,Switch and Wireless Controller/TP-Link Switches/TP-Link TL-SG2210P,Unknown,,0
0,0,,Philips Lighting BV,(Unknown),2,Internet of Things (IoT)/Philips IoT,Hub,Philips,1
0,0,,Binatone Electronics International,(Unknown),-6,"Hardware Manufacturer/Binatone Electronics International, Ltd",Unknown,,0
0,0,,Espressif Inc.,(Unknown),9,Internet of Things (IoT)/Generic IoT/Espressif,hub,Nature Remo,0
0,0,,Castles Technology,(Unknown),-4,Point of Sale Device/Castles Technology,Unknown,,0
0,0,,XIAOMI Electronics,(Unknown),-6,"Hardware Manufacturer/XIAOMI Electronics,CO.,LTD",Unknown,XIAOMI,0
0,0,,TP-LINK TECHNOLOGIES CO.,(Unknown),1,Switch and Wireless Controller/TP-Link Switches/TP-Link TL-SG2210P,Switch,TP-LINK,0
0,0,,Raspberry Pi Foundation,(Unknown),(Unknown),Internet of Things (IoT)/Generic IoT/Raspberry Pi,Unknown,,0
0,0,,Apple,(Unknown),-4,Operating System/Apple OS,Phone,Apple,1
0,0,,Luxshare Precision Industry Company Limited,(Unknown),2,Hardware Manufacturer/Luxshare Precision Industry Company Limited,Unknown,,0
0,0,,Espressif Inc.,(Unknown),-4,Internet of Things (IoT)/Other IoT/Tuya Smart,Unknown,,0
0,0,,ASTEL Inc.,(Unknown),1,Hardware Manufacturer/ASTEL Inc.,Unknown,,0
0,0,,Obihai Technology,(Unknown),(Unknown),"Hardware Manufacturer/Obihai Technology, Inc.",voip,obihai,0
0,0,,ASUSTek COMPUTER INC.,(Unknown),3,Hardware Manufacturer/ASUSTek COMPUTER INC.,PC,Asus,0
0,0,,Apple,(Unknown),-7,Operating System/Apple OS,TV,Apple,1
0,0,,Zhejiang shenghui lighting co.,(Unknown),-4,"Hardware Manufacturer/Zhejiang shenghui lighting co.,Ltd",Unknown,,0
0,0,,Apple,(Unknown),8,Operating System/Apple OS,Voice Assistant,Apple,1
0,0,,HMD Global Oy,(Unknown),2,Hardware Manufacturer/HMD Global Oy,Phone,Nokia,0
0,0,,,United States,-8,"Phone, Tablet or Wearable/Apple Mobile Device/Apple iPhone/iPhone 13 Pro",Unknown,,0
0,0,,Synology Incorporated,(Unknown),1,Storage Device/Synology NAS,NAS,Synology,1
0,0,,VMware,(Unknown),-7,"Hardware Manufacturer/VMware, Inc.",PC,VMware,0
0,0,,Infinix mobility limited,(Unknown),3,Hardware Manufacturer/Infinix mobility limited,Unknown,,0
0,0,,SAMSUNG ELECTRO-MECHANICS(THAILAND),(Unknown),1,Hardware Manufacturer/Samsung,Unknown,,0
0,0,,TP-LINK TECHNOLOGIES CO.,(Unknown),-4,Switch and Wireless Controller/TP-Link Switches/TP-Link TL-SG2210P,Unknown,,0
0,0,,Philips Lighting BV,(Unknown),-4,Internet of Things (IoT)/Philips IoT,Hub,Philips,1
0,0,,XIAOMI Electronics,Italy,1,"Hardware Manufacturer/XIAOMI Electronics,CO.,LTD",vacuum,xiaomi,0
0,0,,Obihai Technology,(Unknown),-4,"Hardware Manufacturer/Obihai Technology, Inc.",voip,Obihai,0
0,0,,Texas Instruments,(Unknown),3,Hardware Manufacturer/Texas Instruments,Unknown,,0
0,0,,F & S Elektronik Systeme GmbH,(Unknown),2,Hardware Manufacturer/F & S Elektronik Systeme GmbH,Hub,Homee,0
0,0,,D-Link International,(Unknown),-7,Hardware Manufacturer/D-Link,Camera,D-Link,0
0,0,,TP-LINK TECHNOLOGIES CO.,(Unknown),-7,Switch and Wireless Controller/TP-Link Switches/TP-Link TL-SG2210P,Unknown,,0
0,0,,AVI-ON LABS,(Unknown),10,Hardware Manufacturer/AVI-ON LABS,Unknown,,0
0,0,,Apple,(Unknown),-7,Operating System/Apple OS,PC,Apple,0
0,0,,Ubiquiti Networks Inc.,(Unknown),2,"Router, Access Point or Femtocell/Wireless Access Point/Ubiquiti WAP",Router,Ubiquiti,0
0,0,,Universal Global Scientific Industrial Co.,(Unknown),-6,"Hardware Manufacturer/Universal Global Scientific Industrial Co., Ltd.",Unknown,,0
0,0,,Espressif Inc.,(Unknown),(Unknown),Internet of Things (IoT)/Generic IoT/Espressif,Unknown,,0
0,0,,REALTEK SEMICONDUCTOR CORP.,Slovakia,1,Hardware Manufacturer/REALTEK SEMICONDUCTOR CORP.,Unknown,,0
0,0,,Raspberry Pi Foundation,United States,-5,Internet of Things (IoT)/Generic IoT/Raspberry Pi,Unknown,,0
0,0,,,Netherlands,2,Hardware Manufacturer/Dell Inc.,Unknown,,0
0,0,,SAMSUNG ELECTRO-MECHANICS(THAILAND),(Unknown),-4,Hardware Manufacturer/Samsung,Unknown,SAMSUNG,0
